dataset	class_dir	ecotaxa_taxon_id
tara_pacific_manta	part<Cnidaria	84970
tara_pacific_manta	nectophore<Abylopsis tetragona	84974
tara_pacific_manta	eudoxid<Abylopsis tetragona	84975
tara_pacific_manta	nectophore<Diphyidae	84976
tara_pacific_manta	eudoxid<Diphyidae	84977
tara_pacific_manta	nectophore<Hippopodiidae	84979
tara_pacific_manta	nectophore<Physonectae	84980
tara_pacific_manta	metanauplii<Crustacea	84983
tara_pacific_manta	protozoea<Penaeidae	84987
tara_pacific_manta	zoea<Galatheidae	84989
tara_pacific_manta	megalopa<Brachyura	84991
tara_pacific_manta	like<Laomediidae	84992
tara_pacific_manta	calyptopsis	84993
tara_pacific_manta	protozoea<Sergestidae	84994
tara_pacific_manta	protozoea<Mysida	84995
tara_pacific_manta	larvae<Squillidae	84996
tara_pacific_manta	nauplii<Cirripedia	84997
tara_pacific_manta	cypris<Cirripedia	84998
tara_pacific_manta	pluteus<Ophiuroidea	84999
tara_pacific_manta	pluteus<Echinoidea	85000
tara_pacific_manta	part<Mollusca	85003
tara_pacific_manta	tail<Appendicularia	85004
tara_pacific_manta	juvenile<Salpida	85005
tara_pacific_manta	chain<Salpida	85006
tara_pacific_manta	wing	85007
tara_pacific_manta	artefact	85008
tara_pacific_manta	other<Biota	85011
tara_pacific_manta	t002	85013
tara_pacific_manta	t003	85014
tara_pacific_manta	t004	85015
tara_pacific_manta	t005	85016
tara_pacific_manta	t007	85018
tara_pacific_manta	t008	85019
tara_pacific_manta	larvae<Porpitidae	85022
tara_pacific_manta	multiple<Copepoda	85044
tara_pacific_manta	dark<detritus	85054
tara_pacific_manta	fiber<plastic	85057
tara_pacific_manta	other<plastic	85058
tara_pacific_manta	bubble	85060
tara_pacific_manta	badfocus<artefact	85061
tara_pacific_manta	seaweed	85067
tara_pacific_manta	part<other	85068
tara_pacific_manta	othertocheck	85069
tara_pacific_manta	filament<plastic	85071
tara_pacific_manta	film	85072
tara_pacific_manta	fragment	85073
tara_pacific_manta	pellet	85074
tara_pacific_manta	multiple<plastic	85075
tara_pacific_manta	fiber<detritus	85076
tara_pacific_manta	egg<other	85078
tara_pacific_manta	multiple<other	85079
tara_pacific_manta	larvae<Crustacea	85114
tara_pacific_manta	part<Crustacea	85115
tara_pacific_manta	nauplii<Crustacea	85116
tara_pacific_manta	egg<Actinopterygii	85117
tara_pacific_manta	scale	85118
tara_pacific_manta	t010	85124
tara_pacific_manta	t012	85137
tara_pacific_manta	t013	85138
tara_pacific_manta	t014	85139
tara_pacific_manta	t015	85140
tara_pacific_manta	t016	85141
tara_pacific_manta	t017	85142
tara_pacific_manta	gonophore<Diphyidae	85185
tara_pacific_manta	part<Ctenophora	85187
tara_pacific_manta	ephyra<Scyphozoa	85188
tara_pacific_manta	egg<Mollusca	85193
tara_pacific_manta	gonophore<Abylopsis tetragona	92012
tara_pacific_manta	part<Siphonophorae	92039
tara_pacific_manta	cirrus	92040
tara_pacific_manta	badfocus<Copepoda	92042
tara_pacific_manta	head<Chaetognatha	92068
tara_pacific_manta	part<Copepoda	92069
