Dataset,Raw_Labels,Kingdom,Phylum,Class,Order,Family,Genus,Species,proposed_label,plankton,living,root_class,qualifier,wikidata_ID,aphia_ID,NCBI_ID,BOLD_ID,ecotaxa_ID
global_uvp5,Helix aspersa,animalia,mollusca,gastropoda,stylommatophora,helicidae,helix,aspersa,helix aspersa,True,True,living,full_body,Q927080,153970.0,6535.0,28622.0,111
flowcamnet,Hemiaulus,chromista,heterokontophyta,bacillariophyceae,hemiaulales,hemiaulaceae,hemiaulus,,hemiaulus,True,True,living,full_body,Q25366002,163248.0,426649.0,603754.0,522
medplanktonset,Hemiaulus_hauckii_Hemiaulus_sinensis,chromista,heterokontophyta,bacillariophyceae,hemiaulales,hemiaulaceae,hemiaulus,,hemiaulus,True,True,living,full_body,Q25366002,163248.0,426649.0,603754.0,522
planktoscope,Hemiaulus,chromista,heterokontophyta,bacillariophyceae,hemiaulales,hemiaulaceae,hemiaulus,,hemiaulus,True,True,living,full_body,Q25366002,163248.0,426649.0,603754.0,522
whoi,Hemiaulus,chromista,heterokontophyta,bacillariophyceae,hemiaulales,hemiaulaceae,hemiaulus,,hemiaulus,True,True,living,full_body,Q25366002,163248.0,426649.0,603754.0,522
planktoscope,Hemidiscus,chromista,heterokontophyta,bacillariophyceae,coscinodiscales,hemidiscaceae,hemidiscus,,hemidiscus,True,True,living,full_body,Q21213712,180366.0,1954218.0,87668.0,720
medplanktonset,Heterocapsa_niei-like,chromista,myzozoa,dinophyceae,peridiniales,heterocapsaceae,heterocapsa,,heterocapsa,True,True,living,like,Q19751739,109540.0,2918.0,317106.0,240
syke_ifcb_2022,Heterocapsa_rotundata,chromista,myzozoa,dinophyceae,peridiniales,heterocapsaceae,heterocapsa,rotundata,heterocapsa rotundata,True,True,living,full_body,Q68465167,110152.0,89963.0,317216.0,240
syke_ifcb_2022,Heterocapsa_triquetra,chromista,myzozoa,dinophyceae,peridiniales,heterocapsaceae,heterocapsa,triquetra,heterocapsa triquetra,True,True,living,full_body,Q110558775,110153.0,66468.0,317225.0,240
zooscan,Heterorhabdidae,animalia,arthropoda,copepoda,calanoida,heterorhabdidae,,,heterorhabdidae,True,True,living,full_body,Q6554828,104087.0,201610.0,1761.0,52
global_uvp5,Chaeteessa,animalia,arthropoda,hexapoda,,,,,hexapoda,True,True,living,full_body,Q105146,1278.0,6960.0,20.0,
zooscan,Insecta,animalia,arthropoda,hexapoda,,,,,hexapoda,False,True,living,full_body,Q105146,1278.0,6960.0,20.0,
zooscan,nectophore_Hippopodiidae,animalia,cnidaria,hydrozoa,siphonophorae,hippopodiidae,,,hippopodiidae,True,True,living,full_body,Q4001548,135339.0,168743.0,455827.0,327
planktonset1.0,echinoderm_seacucumber_auricularia_larva,animalia,echinodermata,holothuroidea,,,,,holothuroidea,True,True,living,larvae,Q127470,123083.0,7705.0,31.0,291
zoolake,hydra,animalia,cnidaria,hydrozoa,anthoathecata,hydridae,hydra,,hydra,True,True,living,full_body,Q192290,267491.0,6083.0,104173.0,460
global_uvp5,actinula,animalia,cnidaria,hydrozoa,,,,,hydrozoa,True,True,living,full_body,Q181989,1337.0,6074.0,26.0,628;652
global_uvp5,Hydrozoa,animalia,cnidaria,hydrozoa,,,,,hydrozoa,True,True,living,full_body,Q181989,1337.0,6074.0,26.0,628;652
jedioceans,LClass_27.Hydrozoa,animalia,cnidaria,hydrozoa,,,,,hydrozoa,True,True,living,full_body,Q181989,1337.0,6074.0,26.0,628;652
planktonset1.0,hydromedusae_bell_and_tentacles,animalia,cnidaria,hydrozoa,,,,,hydrozoa,True,True,living,full_body,Q181989,1337.0,6074.0,26.0,628;652
planktonset1.0,hydromedusae_h15,animalia,cnidaria,hydrozoa,,,,,hydrozoa,True,True,living,full_body,Q181989,1337.0,6074.0,26.0,628;652
planktonset1.0,hydromedusae_other,animalia,cnidaria,hydrozoa,,,,,hydrozoa,True,True,living,full_body,Q181989,1337.0,6074.0,26.0,628;652
planktonset1.0,hydromedusae_shapeA,animalia,cnidaria,hydrozoa,,,,,hydrozoa,True,True,living,full_body,Q181989,1337.0,6074.0,26.0,628;652
planktonset1.0,hydromedusae_shapeA_sideview_small,animalia,cnidaria,hydrozoa,,,,,hydrozoa,True,True,living,full_body,Q181989,1337.0,6074.0,26.0,628;652
planktonset1.0,hydromedusae_shapeB,animalia,cnidaria,hydrozoa,,,,,hydrozoa,True,True,living,full_body,Q181989,1337.0,6074.0,26.0,628;652
planktonset1.0,hydromedusae_sideview_big,animalia,cnidaria,hydrozoa,,,,,hydrozoa,True,True,living,full_body,Q181989,1337.0,6074.0,26.0,628;652
planktonset1.0,hydromedusae_typeD,animalia,cnidaria,hydrozoa,,,,,hydrozoa,True,True,living,full_body,Q181989,1337.0,6074.0,26.0,628;652
planktonset1.0,hydromedusae_typeD_bell_and_tentacles,animalia,cnidaria,hydrozoa,,,,,hydrozoa,True,True,living,full_body,Q181989,1337.0,6074.0,26.0,628;652
planktonset1.0,hydromedusae_typeE,animalia,cnidaria,hydrozoa,,,,,hydrozoa,True,True,living,full_body,Q181989,1337.0,6074.0,26.0,628;652
planktonset1.0,hydromedusae_typeF,animalia,cnidaria,hydrozoa,,,,,hydrozoa,True,True,living,full_body,Q181989,1337.0,6074.0,26.0,628;652
uvp6net,other<Cnidaria,animalia,cnidaria,hydrozoa,,,,,hydrozoa,True,True,living,full_body,Q181989,1337.0,6074.0,26.0,628;652
uvp6net,small<Cnidaria,animalia,cnidaria,hydrozoa,,,,,hydrozoa,True,True,living,full_body,Q181989,1337.0,6074.0,26.0,628;652
zoocamnet,Hydrozoa,animalia,cnidaria,hydrozoa,,,,,hydrozoa,True,True,living,full_body,Q181989,1337.0,6074.0,26.0,628;652
zooscan,Hydrozoa,animalia,cnidaria,hydrozoa,,,,,hydrozoa,True,True,living,full_body,Q181989,1337.0,6074.0,26.0,628;652
